Difference (Minutes),1,,Difference (Minutes),1
Prev Departure Offset,0.831274827,,Prev Departure Offset,0.831274827
Actual Depart,0.085444217,,Enc_Actual_Hour_Depart__17,0.107660164
Transit Date Month,0.013035693,,Actual Depart,0.085444217
Enc_Actual_Hour_Depart__0,-0.00159615,,Enc_Actual_Hour_Depart__18,0.079481464
Enc_Actual_Hour_Depart__1,-0.013001751,,Enc_Day_of_Week__4603,0.075902216
Enc_Actual_Hour_Depart__2,-0.002563138,,Enc_Day_of_Week__5041,0.057987008
Enc_Actual_Hour_Depart__3,-0.02779558,,Enc_Stop_Sequence__10613,0.05373941
Enc_Actual_Hour_Depart__4,-0.035531675,,Enc_Actual_Hour_Depart__16,0.051556575
Enc_Actual_Hour_Depart__5,-0.03912405,,Enc_Day_of_Week__3707,0.048454543
Enc_Actual_Hour_Depart__6,-0.030673342,,Enc_Day_of_Week__4889,0.047545635
Enc_Actual_Hour_Depart__7,-0.010144863,,Enc_Transit_Date__6/6/2019,0.047332522
Enc_Actual_Hour_Depart__8,-0.007080667,,Enc_Day_of_Week__5035,0.045577851
Enc_Actual_Hour_Depart__9,-0.025632925,,Enc_Day_of_Week__4645,0.045364263
Enc_Actual_Hour_Depart__10,-0.030333992,,Enc_Day_of_Week__5047,0.044152268
Enc_Actual_Hour_Depart__11,-0.030575566,,Enc_Day_of_Week__4294,0.043805129
Enc_Actual_Hour_Depart__12,-0.028948158,,Enc_Day_of_Week__5021,0.043660629
Enc_Actual_Hour_Depart__13,-0.018557933,,Enc_Day_of_Week__4545,0.04098056
Enc_Actual_Hour_Depart__14,-0.000197626,,Enc_Stop_Sequence__10314,0.038865212
Enc_Actual_Hour_Depart__15,0.026350405,,Enc_Day_of_Week__4963,0.038577613
Enc_Actual_Hour_Depart__16,0.051556575,,Enc_Day_of_Week__4179,0.038115281
Enc_Actual_Hour_Depart__17,0.107660164,,Enc_Stop_Sequence__10292,0.036439725
Enc_Actual_Hour_Depart__18,0.079481464,,Enc_Day_of_Week__4576,0.036275043
Enc_Actual_Hour_Depart__19,-0.010088305,,Enc_Day_of_Week__3098,0.034759936
Enc_Actual_Hour_Depart__20,-0.008323348,,Enc_Day_of_Week__3257,0.03474871
Enc_Actual_Hour_Depart__21,-0.017735875,,Enc_Stop_Sequence__10303,0.034378434
Enc_Actual_Hour_Depart__22,-0.015465166,,Enc_Day_of_Week__4948,0.033337649
Enc_Actual_Hour_Depart__23,-0.001913208,,Enc_Day_of_Week__5067,0.032171163
Enc_Transit_Date__10/1/2019,0.013267324,,Enc_Stop_Sequence__10308,0.032052002
Enc_Transit_Date__10/10/2019,0.002114451,,Enc_Miles__Saturday,0.032007765
Enc_Transit_Date__10/11/2019,0.010037526,,Enc_Day_of_Week__4875,0.031676876
Enc_Transit_Date__10/12/2019,0.029056161,,Enc_Stop_Sequence__10311,0.031549658
Enc_Transit_Date__10/13/2019,0.00155887,,Enc_Stop_Sequence__10296,0.031165859
Enc_Transit_Date__10/14/2019,-0.014794515,,Enc_Day_of_Week__4660,0.030842626
Enc_Transit_Date__10/15/2019,-0.004729236,,Enc_Day_of_Week__4955,0.030776668
Enc_Transit_Date__10/16/2019,-0.002253732,,Enc_Day_of_Week__3291,0.030739665
Enc_Transit_Date__10/17/2019,-0.002691421,,Enc_Day_of_Week__5049,0.030527293
Enc_Transit_Date__10/18/2019,0.001810588,,Enc_Stop_ID__39.09,0.030045186
Enc_Transit_Date__10/19/2019,0.024069467,,Enc_Transit_Date__10/12/2019,0.029056161
Enc_Transit_Date__10/2/2019,0.004251791,,Enc_Day_of_Week__5017,0.02901222
Enc_Transit_Date__10/20/2019,0.024528691,,Enc_Transit_Date__3/22/2019,0.028833768
Enc_Transit_Date__10/21/2019,-0.006198721,,Enc_Day_of_Week__3954,0.028664718
Enc_Transit_Date__10/22/2019,0.013784973,,Enc_Day_of_Week__4673,0.028607823
Enc_Transit_Date__10/23/2019,0.008023927,,Enc_Day_of_Week__5031,0.027890073
Enc_Transit_Date__10/24/2019,0.002802512,,Enc_Stop_Sequence__10715,0.027629487
Enc_Transit_Date__10/25/2019,0.009715823,,Enc_Transit_Date__3/16/2019,0.027585452
Enc_Transit_Date__10/26/2019,0.011328076,,Enc_Stop_ID__5.397,0.027072366
Enc_Transit_Date__10/27/2019,-0.00303427,,Enc_Block_Number__2818,0.026855422
Enc_Transit_Date__10/28/2019,-0.006521667,,Enc_Block_Number__1172,0.026616101
Enc_Transit_Date__10/29/2019,0.001795854,,Enc_Actual_Hour_Depart__15,0.026350405
Enc_Transit_Date__10/3/2019,0.001431752,,Enc_Day_of_Week__5036,0.025942994
Enc_Transit_Date__10/30/2019,-0.005671595,,Enc_Day_of_Week__3808,0.02589703
Enc_Transit_Date__10/31/2019,0.01014181,,Enc_Day_of_Week__4881,0.025791759
Enc_Transit_Date__10/4/2019,0.018402142,,Enc_Day_of_Week__3295,0.025508816
Enc_Transit_Date__10/6/2019,0.002496583,,Enc_Badge_#__6,0.025365216
Enc_Transit_Date__10/7/2019,0.001191435,,Enc_Transit_Date__3/13/2019,0.025289077
Enc_Transit_Date__10/8/2019,0.003472001,,Enc_Stop_Sequence__10297,0.025271297
Enc_Transit_Date__10/9/2019,-0.005029053,,Enc_Day_of_Week__4962,0.025227412
Enc_Transit_Date__11/1/2019,0.014011727,,Enc_Day_of_Week__4080,0.02513137
Enc_Transit_Date__11/11/2019,-0.014656733,,Enc_Stop_Sequence__10607,0.025035227
Enc_Transit_Date__11/12/2019,0.01511087,,Enc_Day_of_Week__5040,0.024841469
Enc_Transit_Date__11/13/2019,-0.000217001,,Enc_Day_of_Week__4941,0.024720294
Enc_Transit_Date__11/14/2019,0.013785812,,Enc_Day_of_Week__4976,0.024657621
Enc_Transit_Date__11/15/2019,0.010065655,,Enc_Transit_Date__10/20/2019,0.024528691
Enc_Transit_Date__11/16/2019,0.013854676,,Enc_Transit_Date__3/30/2019,0.024433521
Enc_Transit_Date__11/17/2019,0.001319808,,Enc_Day_of_Week__4523,0.024220356
Enc_Transit_Date__11/18/2019,0.003540818,,Enc_Transit_Date__2/15/2019,0.024204142
Enc_Transit_Date__11/19/2019,0.006114981,,Enc_Transit_Date__10/19/2019,0.024069467
Enc_Transit_Date__11/2/2019,0.018162192,,Enc_Transit_Date__8/29/2019,0.023910912
Enc_Transit_Date__11/20/2019,0.008688101,,Enc_Day_of_Week__4303,0.023888549
Enc_Transit_Date__11/21/2019,-0.003037425,,Enc_Day_of_Week__4789,0.023865788
Enc_Transit_Date__11/22/2019,0.001724728,,Enc_Day_of_Week__4812,0.023771579
Enc_Transit_Date__11/23/2019,0.004574394,,Enc_Transit_Date__12/19/2019,0.023693298
Enc_Transit_Date__11/24/2019,0.000337801,,Enc_Day_of_Week__3224,0.023668624
Enc_Transit_Date__11/25/2019,-0.000329723,,Enc_Day_of_Week__5043,0.023333725
Enc_Transit_Date__11/26/2019,0.010489239,,Enc_Day_of_Week__4706,0.023279232
Enc_Transit_Date__11/27/2019,-0.005454442,,Enc_Day_of_Week__4481,0.023180613
Enc_Transit_Date__11/28/2019,0.005865663,,Enc_Badge_#__13,0.023051162
Enc_Transit_Date__11/29/2019,-0.016137907,,Enc_Day_of_Week__4675,0.0226195
Enc_Transit_Date__11/3/2019,-0.003112139,,Enc_Transit_Date__4/3/2019,0.02237419
Enc_Transit_Date__11/30/2019,-0.003645282,,Enc_Day_of_Week__5058,0.022095271
Enc_Transit_Date__11/4/2019,-0.001423388,,Enc_Miles__Friday,0.022031595
Enc_Transit_Date__11/5/2019,0.000531619,,Enc_Stop_Sequence__10286,0.021610289
Enc_Transit_Date__11/6/2019,-0.001084459,,Enc_Stop_ID__23.886,0.021440783
Enc_Transit_Date__11/7/2019,0.000979507,,Enc_Day_of_Week__4885,0.021121408
Enc_Transit_Date__11/8/2019,0.015293126,,Enc_Stop_Sequence__10611,0.021103885
Enc_Transit_Date__11/9/2019,0.010528702,,Enc_Transit_Date__4/22/2019,0.02094256
Enc_Transit_Date__12/1/2019,0.002121333,,Enc_Day_of_Week__4655,0.020855881
Enc_Transit_Date__12/10/2019,0.00754012,,Enc_Transit_Date__7/23/2019,0.020582051
Enc_Transit_Date__12/11/2019,0.007446364,,Enc_Day_of_Week__3030,0.020525619
Enc_Transit_Date__12/12/2019,0.009298734,,Enc_Day_of_Week__4979,0.020509131
Enc_Transit_Date__12/13/2019,-0.000395993,,Enc_Stop_Sequence__10615,0.020270493
Enc_Transit_Date__12/14/2019,0.009747481,,Enc_Transit_Date__9/12/2019,0.020247218
Enc_Transit_Date__12/15/2019,0.005137051,,Enc_Stop_Sequence__10605,0.020239779
Enc_Transit_Date__12/16/2019,0.004850004,,Enc_Day_of_Week__5025,0.019828943
Enc_Transit_Date__12/17/2019,-0.001013084,,Enc_Stop_Sequence__10816,0.019746168
Enc_Transit_Date__12/18/2019,0.001476241,,Enc_Day_of_Week__5039,0.019489839
Enc_Transit_Date__12/19/2019,0.023693298,,Enc_Stop_Sequence__10817,0.019360892
Enc_Transit_Date__12/2/2019,-0.002885607,,Enc_Transit_Date__3/15/2019,0.019261235
Enc_Transit_Date__12/20/2019,0.004229381,,Enc_Day_of_Week__4768,0.019108093
Enc_Transit_Date__12/21/2019,0.008102829,,Enc_Badge_#__5,0.019017479
Enc_Transit_Date__12/22/2019,-0.006276876,,Enc_Day_of_Week__5015,0.018471754
Enc_Transit_Date__12/23/2019,0.001830811,,Enc_Transit_Date__10/4/2019,0.018402142
Enc_Transit_Date__12/24/2019,-0.019473641,,Enc_Stop_Sequence__10304,0.018376966
Enc_Transit_Date__12/25/2019,-0.005728232,,Enc_Day_of_Week__3327,0.018328843
Enc_Transit_Date__12/26/2019,-0.016922804,,Enc_Day_of_Week__4701,0.018310667
Enc_Transit_Date__12/27/2019,-0.007923113,,Enc_Transit_Date__2/14/2019,0.018284915
Enc_Transit_Date__12/28/2019,-0.002551395,,Enc_Stop_Sequence__10707,0.018248368
Enc_Transit_Date__12/29/2019,-0.003820297,,Enc_Transit_Date__11/2/2019,0.018162192
Enc_Transit_Date__12/3/2019,0.000787888,,Enc_Day_of_Week__5032,0.017642527
Enc_Transit_Date__12/30/2019,0.005752958,,Enc_Transit_Date__9/20/2019,0.017562769
Enc_Transit_Date__12/31/2019,0.010889102,,Enc_Block_Number__1171,0.017548006
Enc_Transit_Date__12/4/2019,0.010871583,,Enc_Transit_Date__3/6/2019,0.017527336
Enc_Transit_Date__12/5/2019,-0.003998495,,Enc_Day_of_Week__5033,0.017489435
Enc_Transit_Date__12/6/2019,0.00814522,,Enc_Day_of_Week__5052,0.017448954
Enc_Transit_Date__12/7/2019,0.001782272,,Enc_Stop_Sequence__10603,0.017441926
Enc_Transit_Date__12/8/2019,0.004688384,,Enc_Day_of_Week__3032,0.017287327
Enc_Transit_Date__12/9/2019,0.000255046,,Enc_Stop_Sequence__10711,0.017282183
Enc_Transit_Date__2/10/2019,-0.009283001,,Enc_Stop_ID__20.839,0.016595128
Enc_Transit_Date__2/11/2019,0.006231088,,Enc_Stop_Sequence__10266,0.016536452
Enc_Transit_Date__2/12/2019,-0.002130347,,Enc_Transit_Date__9/17/2019,0.01645828
Enc_Transit_Date__2/13/2019,-0.012540364,,Enc_Day_of_Week__4936,0.01641644
Enc_Transit_Date__2/14/2019,0.018284915,,Enc_Stop_Sequence__10310,0.01627664
Enc_Transit_Date__2/15/2019,0.024204142,,Enc_Stop_Sequence__10814,0.015816528
Enc_Transit_Date__2/16/2019,0.001713549,,Enc_Day_of_Week__4520,0.015813851
Enc_Transit_Date__2/17/2019,-0.012185531,,Enc_Stop_Sequence__10290,0.015792771
Enc_Transit_Date__2/18/2019,-0.000395363,,Enc_Day_of_Week__5026,0.015766288
Enc_Transit_Date__2/19/2019,0.007019458,,Enc_Day_of_Week__5038,0.015556314
Enc_Transit_Date__2/20/2019,0.00868486,,Enc_Day_of_Week__4954,0.015510055
Enc_Transit_Date__2/21/2019,0.004521229,,Enc_Block_Number__2594,0.015322057
Enc_Transit_Date__2/22/2019,0.007955017,,Enc_Transit_Date__11/8/2019,0.015293126
Enc_Transit_Date__2/23/2019,0.006868107,,Enc_Transit_Date__4/12/2019,0.015133163
Enc_Transit_Date__2/24/2019,-0.008761165,,Enc_Transit_Date__11/12/2019,0.01511087
Enc_Transit_Date__2/26/2019,0.011757482,,Enc_Stop_Sequence__10306,0.015105662
Enc_Transit_Date__2/27/2019,0.007216544,,Enc_Day_of_Week__3848,0.015102365
Enc_Transit_Date__2/28/2019,-0.007775241,,Enc_Stop_Sequence__10295,0.014961774
Enc_Transit_Date__3/1/2019,0.001714374,,Enc_Badge_#__17,0.014843822
Enc_Transit_Date__3/11/2019,-0.002634333,,Enc_Stop_Sequence__10309,0.014791182
Enc_Transit_Date__3/12/2019,0.003401709,,Enc_Stop_Sequence__10256,0.014783342
Enc_Transit_Date__3/13/2019,0.025289077,,Enc_Transit_Date__8/24/2019,0.014724277
Enc_Transit_Date__3/14/2019,0.013027503,,Enc_Day_of_Week__4984,0.014715107
Enc_Transit_Date__3/15/2019,0.019261235,,Enc_Day_of_Week__3392,0.014539521
Enc_Transit_Date__3/16/2019,0.027585452,,Enc_Miles__Thursday,0.014360572
Enc_Transit_Date__3/17/2019,0.002821274,,Enc_Day_of_Week__4891,0.014197937
Enc_Transit_Date__3/18/2019,0.004422942,,Enc_Block_Number__2158,0.014036744
Enc_Transit_Date__3/19/2019,0.001557956,,Enc_Day_of_Week__5060,0.014013541
Enc_Transit_Date__3/2/2019,-0.000694475,,Enc_Transit_Date__11/1/2019,0.014011727
Enc_Transit_Date__3/20/2019,-0.002585901,,Enc_Stop_Sequence__10279,0.014008106
Enc_Transit_Date__3/21/2019,-0.008891072,,Enc_Day_of_Week__4709,0.01400784
Enc_Transit_Date__3/22/2019,0.028833768,,Enc_Day_of_Week__4374,0.013941456
Enc_Transit_Date__3/23/2019,0.012110387,,Enc_Stop_Sequence__10267,0.013899317
Enc_Transit_Date__3/24/2019,-0.000495964,,Enc_Stop_Sequence__10717,0.013862009
Enc_Transit_Date__3/25/2019,-0.012187344,,Enc_Transit_Date__11/16/2019,0.013854676
Enc_Transit_Date__3/26/2019,0.012653986,,Enc_Stop_Sequence__10259,0.013844009
Enc_Transit_Date__3/27/2019,0.000525668,,Enc_Day_of_Week__3835,0.01384244
Enc_Transit_Date__3/28/2019,-0.003149541,,Enc_Day_of_Week__4934,0.013818543
Enc_Transit_Date__3/29/2019,0.007092981,,Enc_Transit_Date__11/14/2019,0.013785812
Enc_Transit_Date__3/3/2019,-0.011132028,,Enc_Transit_Date__10/22/2019,0.013784973
Enc_Transit_Date__3/30/2019,0.024433521,,Enc_Day_of_Week__4516,0.013748007
Enc_Transit_Date__3/31/2019,-0.009883728,,Enc_Day_of_Week__3194,0.013712101
Enc_Transit_Date__3/4/2019,-0.001963599,,Enc_Stop_Sequence__10261,0.013622353
Enc_Transit_Date__3/5/2019,-0.002684856,,Enc_Day_of_Week__4968,0.013393145
Enc_Transit_Date__3/6/2019,0.017527336,,Enc_Transit_Date__10/1/2019,0.013267324
Enc_Transit_Date__3/7/2019,-0.004300395,,Enc_Day_of_Week__3017,0.013260744
Enc_Transit_Date__3/8/2019,0.007770841,,Enc_Stop_Sequence__10713,0.013242576
Enc_Transit_Date__3/9/2019,0.013182576,,Enc_Day_of_Week__4081,0.013214216
Enc_Transit_Date__4/1/2019,-0.018585862,,Enc_Block_Number__896,0.01321164
Enc_Transit_Date__4/10/2019,0.001317396,,Enc_Transit_Date__3/9/2019,0.013182576
Enc_Transit_Date__4/11/2019,0.011120239,,Enc_Stop_ID__8.531,0.01311243
Enc_Transit_Date__4/12/2019,0.015133163,,Enc_Transit_Date__9/14/2019,0.013110814
Enc_Transit_Date__4/13/2019,0.0052214,,Transit Date Month,0.013035693
Enc_Transit_Date__4/14/2019,9.36E-05,,Enc_Transit_Date__3/14/2019,0.013027503
Enc_Transit_Date__4/15/2019,-0.003296169,,Enc_Day_of_Week__4969,0.013004371
Enc_Transit_Date__4/16/2019,-0.006344715,,Enc_Stop_ID__8.444,0.012853418
Enc_Transit_Date__4/17/2019,0.002578604,,Enc_Transit_Date__9/21/2019,0.012741513
Enc_Transit_Date__4/18/2019,-0.00132613,,Enc_Day_of_Week__4872,0.012655714
Enc_Transit_Date__4/19/2019,-0.001897788,,Enc_Transit_Date__3/26/2019,0.012653986
Enc_Transit_Date__4/2/2019,-0.008196339,,Enc_Day_of_Week__4999,0.012633637
Enc_Transit_Date__4/20/2019,-0.011236253,,Enc_Day_of_Week__4550,0.012568863
Enc_Transit_Date__4/21/2019,-0.010994203,,Enc_Stop_ID__23.769,0.012566163
Enc_Transit_Date__4/22/2019,0.02094256,,Enc_Day_of_Week__4370,0.012558066
Enc_Transit_Date__4/23/2019,0.001213887,,Enc_Transit_Date__5/3/2019,0.012344319
Enc_Transit_Date__4/24/2019,-0.004818983,,Enc_Day_of_Week__3064,0.012329329
Enc_Transit_Date__4/25/2019,-0.000774263,,Enc_Transit_Date__3/23/2019,0.012110387
Enc_Transit_Date__4/26/2019,0.008111537,,Enc_Stop_Sequence__10300,0.011978718
Enc_Transit_Date__4/27/2019,0.000378617,,Enc_Stop_ID__23.089,0.011930393
Enc_Transit_Date__4/28/2019,-0.00739425,,Enc_Day_of_Week__4810,0.011929588
Enc_Transit_Date__4/29/2019,-0.005091487,,Enc_Stop_Sequence__10614,0.011909608
Enc_Transit_Date__4/3/2019,0.02237419,,Enc_Badge_#__12,0.011860899
Enc_Transit_Date__4/30/2019,-0.00419146,,Enc_Transit_Date__4/9/2019,0.011761131
Enc_Transit_Date__4/4/2019,0.003617166,,Enc_Transit_Date__2/26/2019,0.011757482
Enc_Transit_Date__4/5/2019,-0.002133228,,Enc_Day_of_Week__4747,0.011658837
Enc_Transit_Date__4/6/2019,0.005095981,,Enc_Transit_Date__6/17/2019,0.011640632
Enc_Transit_Date__4/8/2019,2.47E-05,,Enc_Day_of_Week__4892,0.011560556
Enc_Transit_Date__4/9/2019,0.011761131,,Enc_Day_of_Week__4602,0.011541313
Enc_Transit_Date__5/1/2019,-0.004059778,,Enc_Day_of_Week__4688,0.011503638
Enc_Transit_Date__5/10/2019,0.002192187,,Enc_Day_of_Week__3178,0.011429237
Enc_Transit_Date__5/11/2019,-0.002788667,,Enc_Transit_Date__10/26/2019,0.011328076
Enc_Transit_Date__5/12/2019,-0.013463586,,Enc_Day_of_Week__4699,0.011228994
Enc_Transit_Date__5/13/2019,-0.019552778,,Enc_Day_of_Week__3723,0.011187392
Enc_Transit_Date__5/14/2019,-0.005845567,,Enc_Day_of_Week__4123,0.01114252
Enc_Transit_Date__5/15/2019,-0.009139593,,Enc_Transit_Date__4/11/2019,0.011120239
Enc_Transit_Date__5/16/2019,-0.001895477,,Enc_Stop_ID__44.149,0.011018081
Enc_Transit_Date__5/17/2019,-0.001599415,,Enc_Day_of_Week__4543,0.010999709
Enc_Transit_Date__5/18/2019,0.000723322,,Enc_Day_of_Week__5042,0.010932771
Enc_Transit_Date__5/19/2019,-0.015071007,,Enc_Transit_Date__12/31/2019,0.010889102
Enc_Transit_Date__5/2/2019,-0.008911227,,Enc_Transit_Date__12/4/2019,0.010871583
Enc_Transit_Date__5/20/2019,-0.021794319,,Enc_Stop_Sequence__10686,0.010857854
Enc_Transit_Date__5/21/2019,-0.016746602,,Enc_Stop_Sequence__10258,0.01083638
Enc_Transit_Date__5/22/2019,0.003038061,,Enc_Day_of_Week__4200,0.010825256
Enc_Transit_Date__5/23/2019,-0.014988847,,Enc_Day_of_Week__5006,0.010802822
Enc_Transit_Date__5/24/2019,8.67E-05,,Enc_Day_of_Week__4991,0.01077717
Enc_Transit_Date__5/25/2019,-0.008421578,,Enc_Stop_Sequence__10706,0.010772155
Enc_Transit_Date__5/26/2019,-0.014756394,,Enc_Day_of_Week__3474,0.010750091
Enc_Transit_Date__5/27/2019,-0.017627398,,Enc_Day_of_Week__5034,0.010713628
Enc_Transit_Date__5/28/2019,-0.012696743,,Enc_Day_of_Week__5018,0.010680842
Enc_Transit_Date__5/29/2019,-0.008958858,,Enc_Day_of_Week__3007,0.010615472
Enc_Transit_Date__5/3/2019,0.012344319,,Enc_Day_of_Week__4970,0.010607515
Enc_Transit_Date__5/30/2019,-0.004357649,,Enc_Day_of_Week__4289,0.010602378
Enc_Transit_Date__5/31/2019,-0.00349064,,Enc_Day_of_Week__4880,0.010600154
Enc_Transit_Date__5/4/2019,-0.002711171,,Enc_Day_of_Week__4465,0.010585065
Enc_Transit_Date__5/5/2019,-0.014625977,,Enc_Transit_Date__9/19/2019,0.010543058
Enc_Transit_Date__5/6/2019,-0.009480788,,Enc_Transit_Date__11/9/2019,0.010528702
Enc_Transit_Date__5/7/2019,-0.007827281,,Enc_Transit_Date__11/26/2019,0.010489239
Enc_Transit_Date__5/8/2019,0.005057131,,Enc_Stop_Sequence__10602,0.010469074
Enc_Transit_Date__5/9/2019,-0.006817153,,Enc_Day_of_Week__5075,0.010433685
Enc_Transit_Date__6/1/2019,-0.010768053,,Enc_Day_of_Week__3676,0.010429601
Enc_Transit_Date__6/10/2019,-0.009602841,,Enc_Stop_Sequence__10683,0.010355116
Enc_Transit_Date__6/11/2019,0.00549779,,Enc_Block_Number__897,0.010312654
Enc_Transit_Date__6/12/2019,0.007931564,,Enc_Stop_Sequence__10804,0.010305879
Enc_Transit_Date__6/13/2019,0.003818841,,Enc_Transit_Date__9/24/2019,0.010305547
Enc_Transit_Date__6/14/2019,-0.007985536,,Enc_Day_of_Week__5008,0.010265318
Enc_Transit_Date__6/15/2019,-0.002105232,,Enc_Stop_Sequence__10687,0.010169872
Enc_Transit_Date__6/16/2019,-0.006864687,,Enc_Transit_Date__10/31/2019,0.01014181
Enc_Transit_Date__6/17/2019,0.011640632,,Enc_Day_of_Week__4651,0.010079529
Enc_Transit_Date__6/18/2019,-0.006859639,,Enc_Transit_Date__11/15/2019,0.010065655
Enc_Transit_Date__6/19/2019,-0.013423541,,Enc_Transit_Date__10/11/2019,0.010037526
Enc_Transit_Date__6/2/2019,-0.014203828,,Enc_Transit_Date__8/22/2019,0.010022515
Enc_Transit_Date__6/20/2019,-0.013001925,,Enc_Transit_Date__9/18/2019,0.00996134
Enc_Transit_Date__6/21/2019,-0.011210343,,Enc_Day_of_Week__5028,0.009934732
Enc_Transit_Date__6/22/2019,-0.002317271,,Enc_Transit_Date__8/17/2019,0.009912142
Enc_Transit_Date__6/23/2019,-0.008716024,,Enc_Day_of_Week__4952,0.0097666
Enc_Transit_Date__6/24/2019,-0.013086193,,Enc_Transit_Date__12/14/2019,0.009747481
Enc_Transit_Date__6/25/2019,-0.001280592,,Enc_Transit_Date__10/25/2019,0.009715823
Enc_Transit_Date__6/26/2019,-0.016646279,,Enc_Day_of_Week__4710,0.009677307
Enc_Transit_Date__6/27/2019,-0.01408455,,Enc_Stop_Sequence__10694,0.009632647
Enc_Transit_Date__6/28/2019,-0.007816914,,Enc_Day_of_Week__5063,0.009602168
Enc_Transit_Date__6/29/2019,-0.00490435,,Enc_Stop_Sequence__10710,0.009552717
Enc_Transit_Date__6/3/2019,-0.012290838,,Enc_Day_of_Week__4751,0.009488599
Enc_Transit_Date__6/30/2019,0.000280911,,Enc_Transit_Date__12/12/2019,0.009298734
Enc_Transit_Date__6/4/2019,-0.003571149,,Enc_Day_of_Week__5064,0.00924854
Enc_Transit_Date__6/5/2019,0.000730711,,Enc_Day_of_Week__5065,0.009164639
Enc_Transit_Date__6/6/2019,0.047332522,,Enc_Transit_Date__8/16/2019,0.009134425
Enc_Transit_Date__6/7/2019,-0.007205197,,Enc_Transit_Date__9/7/2019,0.009123549
Enc_Transit_Date__6/8/2019,-0.006154947,,Enc_Day_of_Week__4290,0.009111932
Enc_Transit_Date__6/9/2019,-0.01239504,,Enc_Day_of_Week__4561,0.009040826
